dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl,title,text
5.014959266,1076.76,473.69,125.59,488.9,92305,1973442.3,1.968590411,2.227408858,1.359773265,86.29,0.20612045,5.05560866,1.3541225,-2.837051794,36817.1,0,-6.82986874
5.373517599,1186.8,480.4,185.73,757,123336,2130617.5,1.952638491,2.308258966,1.39425757,86.39,0.21078229,5.072231992,1.2571124,-2.803708915,40830,-0.002418923,-5.311503928
5.461116257,1159.86,482.4,265.49,686.7,138111,2335010.1,1.975149094,2.367735927,1.419675944,86.5,0.2121188,5.24417792,1.1133419,-2.811190699,44488.6,0.007235096,-4.179608376
5.62177673,1580.53,491.9,485.7,923.36,156312,2440874.5,2.095688025,2.430907945,1.520523635,86.71,0.24930707,5.202522069,0.8029362,-2.820827705,48458,0.004404618,-3.655941242
5.657284681,1784.04,475.76,645.74,593.08,189129,2548433.3,2.063711,2.512773082,1.561889177,86.76,0.24959046,5.182120572,0.6935515,-2.826541347,52530.4,0.019879912,-2.97245856
5.79891082,1818.04,541.94,537.46,870.58,185928,2690851.2,2.031563776,2.6113337,1.588007922,86.93,0.24360323,5.152424166,0.73208876,-2.821166331,57229.8,0.018468077,-2.536572641
5.909549254,2059.86,638.8,443.47,1755.46,211212,2740102.7,2.015676908,2.714443057,1.613858129,87.09,0.24641837,5.226337897,0.82450241,-2.789025989,62361.2,0.037035474,-2.110490614
5.988961417,2060.1,688.11,504.99,2682,226113,2851858.7,1.947278527,2.783627569,1.655183446,87.35,0.20944082,5.22928878,0.81052865,-2.747736279,67755.9,0.048621579,-1.943042932
6.03519431,2084.09,747.31,373.21,3247.63,254165,2974156.5,2.020871441,2.798244286,1.657086473,87.55,0.1971099,5.184196367,0.64285985,-2.690301638,69433.5,0.050918849,-1.776864943
4.811859099,461.67,204.78,11.72,159.3,41009,2558684.6,1.098843895,1.89487622,0.141230429,81.55,0.16621917,4.582924577,0.80718936,-2.653617685,24029.6,0,-6.82986874
5.166270586,353.9,188.4,11.51,213.1,60915,3000377.2,1.118004113,1.964936845,0.20012873,82.29,0.17651352,4.498475447,0.8002064,-2.658277748,26359.2,-0.002418923,-5.311503928
5.299117047,397.65,208.81,15.35,207.5,63422,3228056.5,1.11585147,2.014374081,0.239803992,82.55,0.18342423,4.489983776,0.772922,-2.649602733,28832.3,0.007235096,-4.179608376
5.470293931,470.24,249.84,34.9,261,79963,3526665.1,1.185976773,2.026413454,0.327229655,82.88,0.19544763,4.483454427,0.6542571,-2.637772122,31291.4,0.004404618,-3.655941242
5.504680918,724.33,283.93,35.38,183.09,106514,3499550.5,1.19051476,2.075025179,0.463111181,83.27,0.20684089,4.564452353,0.59410971,-2.619042211,34074.5,0.019879912,-2.97245856
5.649079866,795.31,339.35,26.5,300.67,86996,2411417.7,1.215432995,2.166541748,0.525266846,83.57,0.17696406,4.619960271,0.61234609,-2.574884435,37022.3,0.018468077,-2.536572641
5.758523153,897.37,437.91,26.73,737.82,99038,2528761,1.241064898,2.258514599,0.546594231,83.95,0.16497923,4.660604893,0.60691213,-2.519527735,39506.2,0.037035474,-2.110490614
5.840961374,1092.6,523.63,33.41,1194.6,96045,2134320.2,1.572000932,2.318033056,0.589801301,84.31,0.25210149,4.692723083,0.52342155,-2.476425457,42404.1,0.048621579,-1.943042932
5.890151385,1254.63,534.6,33.66,1584.54,111514,2287717.3,1.645501609,2.313208465,0.592823956,84.7,0.22375867,4.815431111,0.52071924,-2.430328503,43854.1,0.050918849,-1.776864943
4.492225427,1756,963.91,27.27,538.7,23241,1980850.3,0.737765751,1.158263888,-0.166615544,46.6,0.15350662,4.332048265,0.13830757,-2.091047827,13646.7,0,-6.82986874
4.976595802,2049.3,1031.6,25.33,728.7,27619,2327418.3,0.808913428,1.204352732,-0.117487079,48.02,0.15503244,4.405621084,0.140183,-2.132015917,15189.6,-0.002418923,-5.311503928
5.07991257,2204.74,1127.64,35.98,728.1,30000,2606711.3,0.892397673,1.238577109,-0.082572154,49.36,0.15897747,4.435093356,0.14590666,-2.09248431,16647.4,0.007235096,-4.179608376
5.295964601,2948.52,1317.22,60.4,866.46,44060,2858050.6,1.006332476,1.280767165,0.022221269,51.67,0.18896092,4.414372811,0.12154079,-2.047255196,18118.1,0.004404618,-3.655941242
5.367656845,3841.08,1612.02,74.94,623.2,54838,3086607.6,1.071893089,1.352944381,0.057277851,53.87,0.18863253,4.557344557,0.10888206,-2.012742845,19725.4,0.019879912,-2.97245856
5.553618283,4126.88,1910.1,63.76,1096.19,61288,3509683.7,1.115303741,1.421926914,0.142349895,55.74,0.19517632,4.61343593,0.10985831,-1.976616506,21484.1,0.018468077,-2.536572641
5.644633846,4192.38,2159.77,86.81,2790.14,83785,3819915.7,1.155551571,1.477231356,0.230667178,57.33,0.21455574,4.686381441,0.10976705,-1.932214054,23445.7,0.037035474,-2.110490614
5.720508479,4345.82,2359.67,138.39,4741.9,101274,4385826.3,1.285894991,1.548328173,0.299267205,58.77,0.23669431,4.696198484,0.1144733,-1.89661414,25664.7,0.048621579,-1.943042932
5.776723099,4598.22,2534.35,100.21,5971.71,125608,4854543.5,1.368606983,1.574887875,0.288496741,60.07,0.24920084,4.716085247,0.12281908,-1.870985882,27135.9,0.050918849,-1.776864943
4.532384416,737.36,504.78,7.11,308.5,16786,1069589.7,1.136145264,1.189789089,-0.49231468,51.32,0.22781299,4.342505877,0.08127948,-1.964539566,13591.5,0,-6.82986874
4.971339911,881.7,521.3,8.18,392.3,18859,1237697.8,1.181867308,1.219291571,-0.37254739,52.88,0.23924755,4.449101,0.08158427,-2.075480174,15119.7,-0.002418923,-5.311503928
5.121938119,996.79,571.13,13.19,394.6,15687,1247027.3,1.226381767,1.231045412,-0.2473927,54.3,0.24176487,4.514698283,0.08244514,-2.106611871,16538.3,0.007235096,-4.179608376
5.32933142,1345.88,723.94,21.5,472.8,14948,1008949.7,1.307913272,1.211723986,0.120915901,55.87,0.26812146,4.482550472,0.07725415,-2.1280321,17853.7,0.004404618,-3.655941242
5.415255601,1582.89,747.19,23.9,328.73,20031,976282.5,1.367419853,1.222963926,0.177769545,57.27,0.26273964,4.515464273,0.09263886,-2.14411454,19048.9,0.019879912,-2.97245856
5.560489305,1840.12,872.87,24.45,584.21,20697,1122322.9,1.27224518,1.416877638,0.07187405,58.59,0.24190613,4.59036107,0.08011595,-2.151293929,20420,0.018468077,-2.536572641
5.647741084,1989.15,991.03,107.56,1372.93,27106,1312531.1,1.28177921,1.515492661,0.140657194,59.85,0.25471947,4.668614359,0.08609604,-2.144465386,21990.1,0.037035474,-2.110490614
5.732467109,2148.19,1126.06,82.06,2375.2,31705,1380812.7,1.362432442,1.578332517,0.149471177,61.29,0.27666932,4.672080891,0.08533496,-2.14464252,23828.5,0.048621579,-1.943042932
5.786068817,2322.32,1252.11,82.79,3091.7,40302,1561790,1.421503264,1.63024004,0.151785027,62.53,0.28953654,4.746843344,0.08534916,-2.136042988,25213.7,0.050918849,-1.776864943
4.518304253,548.74,274.8,3.93,258.5,4732,858476.8,0.456395457,1.445529783,-0.020036395,58.42,0.21573458,4.631812117,0.06788123,-2.244382046,16884,0,-6.82986874
4.987639574,677.2,284.4,4.56,311.2,6388,1004405.6,0.515296256,1.53298874,0.014119844,59.82,0.21792447,4.679628097,0.06520556,-2.287103917,18692.9,-0.002418923,-5.311503928
5.150745002,739.91,316.78,6.31,316.6,6359,1080287.4,0.567902501,1.601103276,0.055406324,60.97,0.21834208,4.655673168,0.07354425,-2.302114404,20559.3,0.007235096,-4.179608376
5.368542811,915.95,365.65,8.7,377.07,8876,1186260.5,0.686775323,1.667178379,0.137986454,62.09,0.23850814,4.550291524,0.06123616,-2.312337413,22310.1,0.004404618,-3.655941242
5.437774915,1200.73,417.18,10.75,249.64,10672,1279853,0.808868047,1.732716929,0.161676575,63.4,0.24893453,4.585375559,0.05607128,-2.317680396,24126.6,0.019879912,-2.97245856
5.554895694,1294.08,494,9.93,491.17,11701,1082639.6,1.020472029,1.811496735,0.227382554,64.6,0.28142836,4.721708002,0.06287463,-2.324641599,26212.2,0.018468077,-2.536572641
5.604219933,1358.38,628.28,12.24,1270.77,16426,1033594.4,0.968457361,1.894481507,0.240102925,65.51,0.27945159,4.788657729,0.06432691,-2.311767503,28375.7,0.037035474,-2.110490614
5.683205548,1372.73,682.5,27.91,2075.8,21069,1183624.6,1.002838378,1.962486288,0.238662507,66.46,0.29634865,4.775672166,0.06388289,-2.295323324,30555,0.048621579,-1.943042932
5.734602617,1441.34,722.92,19.52,2584.73,26224,1293714.3,1.025222766,1.969068484,0.186089449,67.48,0.30358414,4.813565515,0.06048463,-2.283531874,31497.3,0.050918849,-1.776864943
4.639861426,1267.47,707.93,22.88,473.2,41152,2894568.8,0.908110122,1.405557627,-0.225558966,65.65,0.18347062,4.58394655,0.36813426,-2.402193804,18760.9,0,-6.82986874
5.07561122,1631.4,726.9,22.34,582.2,45996,3331302.6,0.932430542,1.480604041,-0.13633532,66.45,0.19098879,4.648325456,0.36909454,-2.445684352,20817.8,-0.002418923,-5.311503928
5.23436534,2083.51,772.06,30.26,587.8,37860,3242303.4,0.964178584,1.524206768,-0.005976826,67.05,0.17747457,4.637540566,0.34968489,-2.468184374,22820.2,0.007235096,-4.179608376
5.422303346,2710.76,860.47,48.2,729.4,42153,2418802.6,1.075487834,1.536480048,0.161974281,68.05,0.15632242,4.583844399,0.29568936,-2.476012706,24575.6,0.004404618,-3.655941242
5.444191029,3239.53,971.73,59.3,512.71,52603,2420636.6,1.401798203,1.549029517,0.306388511,68.87,0.20575766,4.616406818,0.28193545,-2.48873788,26039.7,0.019879912,-2.97245856
5.587922589,3118.77,1058.62,47.5,873.25,49871,2749477.3,1.406288588,1.613848173,0.319289745,69.49,0.20843992,4.689970788,0.30998298,-2.500129163,27835.4,0.018468077,-2.536572641
5.673151431,3240.31,1135.99,64.72,1774.96,65686,3006013.9,1.412989577,1.698492201,0.318344634,70.26,0.21084836,4.718141665,0.32256292,-2.492524685,29701.5,0.037035474,-2.110490614
5.739825066,3270.73,1230.41,96.19,2723.2,69732,3102481.8,1.505748511,1.75818545,0.331495588,71.21,0.23063897,4.72046123,0.29231201,-2.484209301,31819.8,0.048621579,-1.943042932
5.787786556,3305.19,1331.24,79.51,3388.94,86527,3353222.3,1.565671776,1.768644362,0.35676494,72.14,0.23946526,4.739963282,0.26043712,-2.479915144,32738.3,0.050918849,-1.776864943
